Series_Title,Released_Year,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Genre_Drama,Genre_Crime,Genre_Action,Genre_Adventure,Genre_Biography,Genre_History,Genre_Sci-Fi,Genre_Romance,Genre_Western,Genre_Fantasy,Genre_Comedy,Genre_Thriller,Genre_Animation,Genre_Family,Genre_War,Genre_Mystery,Genre_Music,Genre_Horror,Genre_Musical,Genre_Film-Noir,Genre_Sport,Certificate_16,Certificate_A,Certificate_Approved,Certificate_G,Certificate_GP,Certificate_PG,Certificate_PG-13,Certificate_Passed,Certificate_R,Certificate_TV-14,Certificate_TV-MA,Certificate_TV-PG,Certificate_U,Certificate_U/A,Certificate_UA,Certificate_Unrated,Actor_Popularity,Director_Popularity
The Shawshank Redemption,1994.0,0.6944708389358963,1.0,0.7222222222222223,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,2.464313920952724,0.20365809984630825,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13,2
The Godfather,1972.0,1.8888390735035727,0.9411764705882346,1.0,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,2.1350090805567272,0.888910173614792,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,26,5
The Dark Knight,2008.0,1.0564006069867073,0.8235294117647056,0.7777777777777777,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,2.448987564463341,1.4934952065352343,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,23,8
The Godfather: Part II,1974.0,2.8660494472407625,0.8235294117647056,0.8611111111111112,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,1.8131585379514144,0.5127502148018763,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40,5
12 Angry Men,1957.0,-0.9704060940978344,0.8235294117647056,0.9444444444444444,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,1.3725721240795374,-0.6182115403100762,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12,5
The Lord of the Rings: The Return of the King,2003.0,2.8298564704356814,0.7647058823529411,0.9166666666666667,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,2.1472623690608046,1.3409124864235173,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,19,5
Pulp Fiction,1994.0,1.1287865605968694,0.7647058823529411,0.9166666666666667,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,2.2417737593267586,0.7907547139908465,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18,8
Schindler's List,1993.0,2.6126986096051947,0.7647058823529411,0.9166666666666667,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,1.8768520574407745,0.7434214828475073,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,13
Inception,2010.0,0.9116286997663829,0.7058823529411766,0.6388888888888888,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,2.3523864199141284,1.2286160855188555,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,20,8
Fight Club,1999.0,0.585891908520653,0.7058823529411766,0.5277777777777778,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,2.2556251693740035,0.3210668918884972,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21,8
